username,password,profile_picture,first_name,last_name,birth_date,position,team_id
kbeetham0,ngtAyn8yM,http://dummyimage.com/110x100.png/ff4444/ffffff,Kristofer,Beetham,1997-08-23,Goalkeeper,3
epackham1,tMIv6oMDYw3,http://dummyimage.com/235x100.png/5fa2dd/ffffff,Ede,Packham,2001-02-17,Goalkeeper,1
aradford2,V1kxKiwlUO,http://dummyimage.com/125x100.png/dddddd/000000,Avrit,Radford,2004-07-21,Defender,5
jrafter3,UWvY22B29QsT,http://dummyimage.com/166x100.png/5fa2dd/ffffff,Javier,Rafter,2001-05-20,Attacker,2
awitard4,93wLIMjoiuBH,http://dummyimage.com/240x100.png/ff4444/ffffff,Anne,Witard,2001-06-18,Goalkeeper,3
bmattevi5,Q2v9PS,http://dummyimage.com/143x100.png/ff4444/ffffff,Beverley,Mattevi,2004-10-28,Goalkeeper,3
rgodthaab6,RWTc7H243,http://dummyimage.com/121x100.png/cc0000/ffffff,Rey,Godthaab,1988-02-21,Goalkeeper,3
varkcoll7,k6WxfMeS,http://dummyimage.com/209x100.png/ff4444/ffffff,Vonny,Arkcoll,1994-07-28,Defender,3
jdjuricic8,MUKwFgqx20rW,http://dummyimage.com/134x100.png/5fa2dd/ffffff,Jobyna,Djuricic,1994-11-27,Defender,4
pruckhard9,eJUl1xJdbwC3,http://dummyimage.com/138x100.png/dddddd/000000,Patten,Ruckhard,1989-06-06,Defender,4
sjacklina,QhOWY6neO,http://dummyimage.com/109x100.png/dddddd/000000,Sharai,Jacklin,1992-03-02,Goalkeeper,2
btuminib,2a5zDL2mrIIz,http://dummyimage.com/146x100.png/ff4444/ffffff,Benjamen,Tumini,1991-06-15,Defender,5
mcurroc,vuxnSQ,http://dummyimage.com/114x100.png/ff4444/ffffff,Morganica,Curro,1988-12-01,Midfielder,4
tmccoveneyd,L1Ux4NkEWoR,http://dummyimage.com/217x100.png/ff4444/ffffff,Talia,McCoveney,2000-06-02,Goalkeeper,3
